id,phase,country,location,name,preservation,lat,long,sex,age
26,6,Ireland,Ballykean,NA,bog mummy,53.2287,-7.28162,male,adult
27,6,Ireland,Moanflugh,Denis Looney,bog mummy,51.96829,8.99064,male,adult
28,6,Ireland,Ballykinard,Betty Thompson,bog mummy,55.18883,-7.67116,female,adult
29,6,Ireland,near Athea,NA,bog mummy,52.45967,9.28085,female,adult
30,6,Ireland,near Daingean,NA,bog skeleton,53.30045,-7.29563,unknown,adult
31,6,Ireland,Garryclough,NA,bog mummy,52.68082,-7.61776,female,adult
32,5,Ireland,Moydrum or Bogstown,NA,bog mummy,53.4296,-7.09238,male,adult
33,5,United Kingdom,Lindow,Lindow I/Lindow Woman,bog mummy (head),53.32252,-2.26876,unknown,adult
34,5,United Kingdom,Lindow,Lindow III,bog mummy,53.3232,-2.268883,male,adult
35,2,United Kingdom,Hartlepool Bay,NA,bog skeleton,54.6757,-1.19509,male,adult
36,5,United Kingdom,Worsley,Worsley Man,bog mummy (head),53.4823,-2.41533,male,adult
37,5,United Kingdom,Worsley,Worsley Man,bog mummy (head),53.4823,-2.41533,male,adult
38,3,United Kingdom,"Methwold, Hemplands Farm ",NA,bog skeleton,52.535008,0.483735,female,adult
39,5,United Kingdom,Prestatyn,Prestatyn Child,bog skeleton,53.33543,-3.4053,unknown,child
40,5,United Kingdom,Upware,NA,bog skeleton (cranium/mandible),52.30685,0.2425,male,adult
41,3,United Kingdom,"Ely, Shippea Hill Farm",Shippea Man,bog skeleton,52.4304,0.4135,male,adult
42,5,United Kingdom,"Merseyside, Leasowe",Leasowe man,bog skeleton,53.41062,-3.11467,male,adult
43,5,United Kingdom,Amcotts,NA,bog mummy,53.6159,-0.7162,unknown,adult
44,6,United Kingdom,Cromdale,NA,bog mummy,57.4216,-3.6665,unknown,adult
45,6,United Kingdom,"Keiss, Clayton Hill",NA,bog mummy,58.55356,-3.1498,male,child
46,6,United Kingdom,"Barrock, Quintfall Hill",NA,bog skeleton,58.5406,-3.204,male,adult
47,6,United Kingdom,"Birsay, Orkney",NA,bog skeleton,59.1235,-3.312,female,child
48,6,United Kingdom,"Gunnister, Shetland",NA,bog mummy,60.44215,-1.40505,male,adult
49,6,United Kingdom,Lewis,NA,bog mummy,58.18607,-6.44781,male,adult
50,6,United Kingdom,Cambusnethan,NA,bog mummy,55.7719,-3.89369,male,adult
51,5,United Kingdom,Grewelthorpe,NA,bog mummy,54.1778,-1.741,male,adult
52,6,United Kingdom,Quernmore,NA,bog mummy,54.01014,-2.69994,unknown,unknown
53,4,United Kingdom,Soham,NA,bog skeleton,52.30465,0.345,unknown,adult
54,6,United Kingdom,"Huntsgarth, Orkney",NA,bog mummy,59.0385,-3.1855,unknown,child
55,4,United Kingdom,"Pilling, Kentucky Farm",NA,bog mummy (head),53.90902,-2.8523,female,adult
56,3,United Kingdom,"Lynford, West Tofts",NA,bog skeleton,52.5033,0.705,unknown,adult
57,3,United Kingdom,Methwold,Nancy,bog skeleton,52.522,0.40084,female,adult
